,1,2,3,4,5,6
1,30,0,0,0,0,0
4,0,0,110,0,0,0
7,0,0,0,0,0,-60
9,0,0,-70,0,0,0
13,0,0,0,0,-70,0
16,0,30,0,0,0,0
17,0,-50,0,0,0,0
22,40,0,0,0,0,0
27,0,0,0,0,0,80
32,170,0,0,0,0,0
41,0,0,0,-40,0,0
42,0,0,0,0,-10,0
43,0,0,0,0,-10,0
47,140,0,0,0,0,0
51,0,0,10,0,0,0
54,0,0,0,0,-50,0
55,0,0,0,0,0,-50
56,90,0,0,0,0,0
64,0,90,0,0,0,0
67,150,0,0,0,0,0
69,0,0,0,-10,0,0
71,0,0,0,70,0,0
78,0,0,0,-20,0,0
83,0,0,0,30,0,0
84,0,0,0,0,-60,0
86,0,0,-90,0,0,0
88,0,120,0,0,0,0
89,0,0,-30,0,0,0
92,90,0,0,0,0,0
93,0,100,0,0,0,0
94,0,0,0,0,-90,0
101,0,10,0,0,0,0
103,70,0,0,0,0,0
110,0,0,60,0,0,0
112,0,0,-80,0,0,0
113,0,0,80,0,0,0
114,0,0,0,-80,0,0
122,0,10,0,0,0,0
125,10,0,0,0,0,0
130,0,0,30,0,0,0
132,0,0,0,0,90,0
134,0,0,0,0,-50,0
140,0,0,0,0,-10,0
141,0,0,0,-10,0,0
144,80,0,0,0,0,0
147,0,0,30,0,0,0
158,0,0,0,0,-80,0
160,0,0,0,0,-10,0
163,0,0,0,0,0,-90
168,0,0,0,70,0,0
171,0,150,0,0,0,0
173,0,0,0,0,0,-10
181,0,0,40,0,0,0
183,0,0,80,0,0,0
185,0,0,0,0,0,-50
186,0,0,0,0,80,0
193,0,0,0,0,0,20
196,0,0,0,70,0,0
207,0,0,40,0,0,0
208,0,110,0,0,0,0
209,0,0,0,70,0,0
211,0,0,0,100,0,0
212,0,0,-30,0,0,0
213,0,0,0,0,0,-30
215,20,0,0,0,0,0
216,0,0,0,-20,0,0
224,180,0,0,0,0,0
226,0,0,0,0,0,70
227,0,0,0,-70,0,0
229,0,0,-70,0,0,0
233,0,0,0,0,-10,0
236,0,0,100,0,0,0
239,0,0,0,0,0,100
240,0,0,0,70,0,0
244,30,0,0,0,0,0
248,60,0,0,0,0,0
252,0,30,0,0,0,0
253,0,0,0,0,0,-60
255,0,0,0,0,-20,0
259,190,0,0,0,0,0
264,0,100,0,0,0,0
266,0,0,0,0,0,60
268,0,0,0,0,0,-70
275,0,0,0,0,100,0
278,0,150,0,0,0,0
