,LT,abs,rel
1,1,30.0,27.3861278753
4,1,110.0,100.415802209
7,0,60.0,54.7722557505
9,1,70.0,63.9009650423
13,1,70.0,63.9009650423
16,1,30.0,27.3861278753
17,1,50.0,45.6435464588
22,1,40.0,36.514837167
27,1,80.0,73.029674334
32,1,170.0,155.18805796
41,1,40.0,36.514837167
42,1,10.0,9.12870929175
43,1,10.0,9.12870929175
47,1,140.0,127.801930085
51,1,10.0,9.12870929175
54,1,50.0,45.6435464588
55,0,50.0,45.6435464588
56,1,90.0,82.1583836258
64,1,90.0,82.1583836258
67,0,150.0,136.930639376
69,1,10.0,9.12870929175
71,0,70.0,63.9009650423
78,1,20.0,18.2574185835
83,1,30.0,27.3861278753
84,1,60.0,54.7722557505
86,1,90.0,82.1583836258
88,0,120.0,109.544511501
89,1,30.0,27.3861278753
92,1,90.0,82.1583836258
93,1,100.0,91.2870929175
94,1,90.0,82.1583836258
101,0,10.0,9.12870929175
103,1,70.0,63.9009650423
110,1,60.0,54.7722557505
112,1,80.0,73.029674334
113,0,80.0,73.029674334
114,1,80.0,73.029674334
122,1,10.0,9.12870929175
125,0,10.0,9.12870929175
130,1,30.0,27.3861278753
132,1,90.0,82.1583836258
134,1,50.0,45.6435464588
140,0,10.0,9.12870929175
141,1,10.0,9.12870929175
144,1,80.0,73.029674334
147,1,30.0,27.3861278753
158,1,80.0,73.029674334
160,1,10.0,9.12870929175
163,1,90.0,82.1583836258
168,0,70.0,63.9009650423
171,1,150.0,136.930639376
173,1,10.0,9.12870929175
181,0,40.0,36.514837167
183,1,80.0,73.029674334
185,0,50.0,45.6435464588
186,1,80.0,73.029674334
193,1,20.0,18.2574185835
196,0,70.0,63.9009650423
207,1,40.0,36.514837167
208,1,110.0,100.415802209
209,0,70.0,63.9009650423
211,0,100.0,91.2870929175
212,1,30.0,27.3861278753
213,1,30.0,27.3861278753
215,0,20.0,18.2574185835
216,1,20.0,18.2574185835
224,1,180.0,164.316767252
226,0,70.0,63.9009650423
227,0,70.0,63.9009650423
229,0,70.0,63.9009650423
233,1,10.0,9.12870929175
236,0,100.0,91.2870929175
239,1,100.0,91.2870929175
240,0,70.0,63.9009650423
244,1,30.0,27.3861278753
248,1,60.0,54.7722557505
252,0,30.0,27.3861278753
253,0,60.0,54.7722557505
255,1,20.0,18.2574185835
259,1,190.0,173.445476543
264,1,100.0,91.2870929175
266,1,60.0,54.7722557505
268,1,70.0,63.9009650423
275,1,100.0,91.2870929175
278,1,150.0,136.930639376
280,0,10.0,9.12870929175
285,1,30.0,27.3861278753
290,1,90.0,82.1583836258
293,1,100.0,91.2870929175
296,1,90.0,82.1583836258
299,1,100.0,91.2870929175
313,1,70.0,63.9009650423
317,1,90.0,82.1583836258
