,1,2,3,4,5,6
1,25.0,-5.0,-5.0,-5.0,-5.0,-5.0
4,-18.3333333333,-18.3333333333,91.6666666667,-18.3333333333,-18.3333333333,-18.3333333333
7,10.0,10.0,10.0,10.0,10.0,-50.0
9,11.6666666667,11.6666666667,-58.3333333333,11.6666666667,11.6666666667,11.6666666667
13,11.6666666667,11.6666666667,11.6666666667,11.6666666667,-58.3333333333,11.6666666667
16,-5.0,25.0,-5.0,-5.0,-5.0,-5.0
17,8.33333333333,-41.6666666667,8.33333333333,8.33333333333,8.33333333333,8.33333333333
22,33.3333333333,-6.66666666667,-6.66666666667,-6.66666666667,-6.66666666667,-6.66666666667
27,-13.3333333333,-13.3333333333,-13.3333333333,-13.3333333333,-13.3333333333,66.6666666667
32,141.666666667,-28.3333333333,-28.3333333333,-28.3333333333,-28.3333333333,-28.3333333333
41,6.66666666667,6.66666666667,6.66666666667,-33.3333333333,6.66666666667,6.66666666667
42,1.66666666667,1.66666666667,1.66666666667,1.66666666667,-8.33333333333,1.66666666667
43,1.66666666667,1.66666666667,1.66666666667,1.66666666667,-8.33333333333,1.66666666667
47,116.666666667,-23.3333333333,-23.3333333333,-23.3333333333,-23.3333333333,-23.3333333333
51,-1.66666666667,-1.66666666667,8.33333333333,-1.66666666667,-1.66666666667,-1.66666666667
54,8.33333333333,8.33333333333,8.33333333333,8.33333333333,-41.6666666667,8.33333333333
55,8.33333333333,8.33333333333,8.33333333333,8.33333333333,8.33333333333,-41.6666666667
56,75.0,-15.0,-15.0,-15.0,-15.0,-15.0
64,-15.0,75.0,-15.0,-15.0,-15.0,-15.0
67,125.0,-25.0,-25.0,-25.0,-25.0,-25.0
69,1.66666666667,1.66666666667,1.66666666667,-8.33333333333,1.66666666667,1.66666666667
71,-11.6666666667,-11.6666666667,-11.6666666667,58.3333333333,-11.6666666667,-11.6666666667
78,3.33333333333,3.33333333333,3.33333333333,-16.6666666667,3.33333333333,3.33333333333
83,-5.0,-5.0,-5.0,25.0,-5.0,-5.0
84,10.0,10.0,10.0,10.0,-50.0,10.0
86,15.0,15.0,-75.0,15.0,15.0,15.0
88,-20.0,100.0,-20.0,-20.0,-20.0,-20.0
89,5.0,5.0,-25.0,5.0,5.0,5.0
